Transaction Date,Description ,Amount,Transaction Type
08/24/2025,AMAZON MKTPLACE PMTS,$34.14,DEBIT
08/24/2025,METRO TRANSIT,$2.75,DEBIT
08/22/2025,TRADER JOE'S #551,$53.69,DEBIT
08/22/2025,THAI SPICE,$24.19,DEBIT
08/22/2025,SHELL OIL 5741,$43.09,DEBIT
08/22/2025,NYTIMES DIGITAL,$17.00,DEBIT
08/22/2025,BLUE BOTTLE COFFEE,$6.29,DEBIT
08/22/2025,AMAZON MKTPLACE PMTS,$64.50,DEBIT
08/21/2025,KROGER #412,$50.66,DEBIT
08/21/2025,METRO TRANSIT,$2.75,DEBIT
08/20/2025,METRO WATER DEPT,$33.21,DEBIT
08/19/2025,CHIPOTLE 1123,$26.58,DEBIT
08/19/2025,BLUE BOTTLE COFFEE,$6.75,DEBIT
08/19/2025,METRO TRANSIT,$2.75,DEBIT
08/18/2025,THAI SPICE,$26.01,DEBIT
08/18/2025,STARBUCKS #2231,$4.08,DEBIT
08/18/2025,HULU 877-8244858,$7.99,DEBIT
08/18/2025,METRO TRANSIT,$2.75,DEBIT
08/17/2025,WHOLE FOODS MKT,$64.77,DEBIT
08/17/2025,UBER *TRIP,$19.85,DEBIT
08/17/2025,THAI SPICE,$18.33,DEBIT
08/17/2025,STARBUCKS #2231,$5.89,DEBIT
08/16/2025,UBER *TRIP,$35.99,DEBIT
08/15/2025,CHIPOTLE 1123,$21.68,DEBIT
08/15/2025,BLUE BOTTLE COFFEE,$5.27,DEBIT
08/15/2025,CITY POWER & LIGHT,$87.95,DEBIT
08/14/2025,SHELL OIL 5741,$49.01,DEBIT
08/14/2025,BLUE BOTTLE COFFEE,$6.47,DEBIT
08/14/2025,AMC THEATRES 0412,$30.52,DEBIT
08/14/2025,METRO TRANSIT,$2.75,DEBIT
08/14/2025,ACME PAYROLL,"$2,841.50",CREDIT
08/13/2025,METRO TRANSIT,$2.75,DEBIT
08/12/2025,SPOTIFY USA,$11.99,DEBIT
08/12/2025,KROGER #412,$69.70,DEBIT
08/12/2025,BLUE BOTTLE COFFEE,$6.08,DEBIT
08/12/2025,METRO TRANSIT,$2.75,DEBIT
08/11/2025,CVS/PHARMACY #0921,$23.15,DEBIT
08/10/2025,TRADER JOE'S #551,$76.69,DEBIT
08/10/2025,COMCAST CABLE COMM,$69.99,DEBIT
08/09/2025,UBER *TRIP,$20.53,DEBIT
08/09/2025,PANERA BREAD #601,$26.65,DEBIT
08/09/2025,METRO TRANSIT,$2.75,DEBIT
08/08/2025,UBER *TRIP,$20.46,DEBIT
08/08/2025,METRO TRANSIT,$2.75,DEBIT
08/07/2025,PANERA BREAD #601,$21.40,DEBIT
08/07/2025,NETFLIX.COM,$15.49,DEBIT
08/07/2025,BLUE BOTTLE COFFEE,$5.58,DEBIT
08/07/2025,METRO TRANSIT,$2.75,DEBIT
08/06/2025,STARBUCKS #2231,$5.69,DEBIT
08/06/2025,METRO TRANSIT,$2.75,DEBIT
08/05/2025,AMAZON MKTPLACE PMTS,$24.90,DEBIT
08/05/2025,PLANET FITNESS #1123,$24.99,DEBIT
08/04/2025,SHELL OIL 5741,$38.75,DEBIT
08/04/2025,METRO TRANSIT,$2.75,DEBIT
08/03/2025,UBER *TRIP,$21.93,DEBIT
08/03/2025,TRADER JOE'S #551,$67.98,DEBIT
08/03/2025,THAI SPICE,$27.35,DEBIT
08/03/2025,APPLE.COM/BILL ICLOUD,$2.99,DEBIT
08/03/2025,METRO TRANSIT,$2.75,DEBIT
08/02/2025,THAI SPICE,$19.50,DEBIT
08/02/2025,BLUE BOTTLE COFFEE,$6.45,DEBIT
08/02/2025,METRO TRANSIT,$2.75,DEBIT
08/01/2025,OAKWOOD APARTMENTS,"$1,450.00",DEBIT
08/01/2025,METRO TRANSIT,$2.75,DEBIT
08/01/2025,ACME PAYROLL,"$2,841.50",CREDIT
